Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite 2,,,,2019-10-06 22:20:37,2019-10-06 22:20:48,11.183s,INCOMPLETE
,,,,,,,
Test Cases/Imgur/Imgur with header,,,,2019-10-06 22:20:38,2019-10-06 22:20:44,6.641s,PASSED
"imgur = sendRequest(findTestObject(""reqres/Imgur with http header""))",,,,2019-10-06 22:20:38,2019-10-06 22:20:44,5.792s,PASSED
"verifyResponseStatusCode(imgur, 200)",,,,2019-10-06 22:20:44,2019-10-06 22:20:44,0.042s,PASSED
"println(""TEST PASSED"")",,,,2019-10-06 22:20:44,2019-10-06 22:20:44,0.009s,PASSED
,,,,,,,
Test Cases/List and create users/Create Users,,,,2019-10-06 22:20:44,2019-10-06 22:20:47,2.751s,PASSED
"createuser = sendRequest(findTestObject(""reqres/Create new User""))",,,,2019-10-06 22:20:45,2019-10-06 22:20:47,1.895s,PASSED
"verifyResponseStatusCode(createuser, 201)",,,,2019-10-06 22:20:47,2019-10-06 22:20:47,0.004s,PASSED
,,,,,,,
Test Cases/List and create users/List users,,,,2019-10-06 22:20:47,2019-10-06 22:20:48,1.098s,PASSED
"listusers = sendRequest(findTestObject(""reqres/List all users""))",,,,2019-10-06 22:20:47,2019-10-06 22:20:48,0.629s,PASSED
"verifyResponseStatusCode(listusers, 200)",,,,2019-10-06 22:20:48,2019-10-06 22:20:48,0.005s,PASSED
