Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master suite 1,,Master suite 1,,2019-10-06 21:42:01,2019-10-06 21:42:11,9.995s,INCOMPLETE
,,,,,,,
Test Cases/List and create users/List users,,,,2019-10-06 21:42:02,2019-10-06 21:42:06,4.035s,PASSED
"listusers = sendRequest(findTestObject(""reqres/List all users""))",,,,2019-10-06 21:42:03,2019-10-06 21:42:06,3.441s,PASSED
"verifyResponseStatusCode(listusers, 200)",,,,2019-10-06 21:42:06,2019-10-06 21:42:06,0.064s,PASSED
,,,,,,,
Test Cases/List and create users/Create Users,,,,2019-10-06 21:42:06,2019-10-06 21:42:08,2.199s,PASSED
"createuser = sendRequest(findTestObject(""reqres/Create new User""))",,,,2019-10-06 21:42:07,2019-10-06 21:42:08,1.545s,PASSED
"verifyResponseStatusCode(createuser, 201)",,,,2019-10-06 21:42:08,2019-10-06 21:42:08,0.005s,PASSED
,,,,,,,
Test Cases/Imgur/Imgur with header,,,,2019-10-06 21:42:08,2019-10-06 21:42:11,3.017s,PASSED
"imgur = sendRequest(findTestObject(""reqres/Imgur with http header""))",,,,2019-10-06 21:42:09,2019-10-06 21:42:11,2.662s,PASSED
"verifyResponseStatusCode(imgur, 200)",,,,2019-10-06 21:42:11,2019-10-06 21:42:11,0.010s,PASSED
"println(""TEST PASSED"")",,,,2019-10-06 21:42:11,2019-10-06 21:42:11,0.012s,PASSED
