Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite 2,,,,2019-10-06 21:48:16,2019-10-06 21:48:31,14.334s,INCOMPLETE
,,,,,,,
Test Cases/Imgur/Imgur with header,,,,2019-10-06 21:48:18,2019-10-06 21:48:27,9.674s,PASSED
"imgur = sendRequest(findTestObject(""reqres/Imgur with http header""))",,,,2019-10-06 21:48:19,2019-10-06 21:48:27,7.883s,PASSED
"verifyResponseStatusCode(imgur, 200)",,,,2019-10-06 21:48:27,2019-10-06 21:48:27,0.049s,PASSED
"println(""TEST PASSED"")",,,,2019-10-06 21:48:27,2019-10-06 21:48:27,0.067s,PASSED
,,,,,,,
Test Cases/List and create users/Create Users,,,,2019-10-06 21:48:27,2019-10-06 21:48:30,2.286s,PASSED
"createuser = sendRequest(findTestObject(""reqres/Create new User""))",,,,2019-10-06 21:48:28,2019-10-06 21:48:30,1.682s,PASSED
"verifyResponseStatusCode(createuser, 201)",,,,2019-10-06 21:48:30,2019-10-06 21:48:30,0.017s,PASSED
,,,,,,,
Test Cases/List and create users/List users,,,,2019-10-06 21:48:30,2019-10-06 21:48:31,1.237s,PASSED
"listusers = sendRequest(findTestObject(""reqres/List all users""))",,,,2019-10-06 21:48:30,2019-10-06 21:48:31,0.678s,PASSED
"verifyResponseStatusCode(listusers, 200)",,,,2019-10-06 21:48:31,2019-10-06 21:48:31,0.004s,PASSED
