Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite 2,,,,2019-10-06 22:14:54,2019-10-06 22:15:08,13.408s,INCOMPLETE
,,,,,,,
Test Cases/Imgur/Imgur with header,,,,2019-10-06 22:14:55,2019-10-06 22:15:04,9.338s,PASSED
"imgur = sendRequest(findTestObject(""reqres/Imgur with http header""))",,,,2019-10-06 22:14:56,2019-10-06 22:15:04,8.547s,PASSED
"verifyResponseStatusCode(imgur, 200)",,,,2019-10-06 22:15:04,2019-10-06 22:15:04,0.022s,PASSED
"println(""TEST PASSED"")",,,,2019-10-06 22:15:04,2019-10-06 22:15:04,0.022s,PASSED
,,,,,,,
Test Cases/List and create users/Create Users,,,,2019-10-06 22:15:04,2019-10-06 22:15:06,2.091s,PASSED
"createuser = sendRequest(findTestObject(""reqres/Create new User""))",,,,2019-10-06 22:15:05,2019-10-06 22:15:06,1.529s,PASSED
"verifyResponseStatusCode(createuser, 201)",,,,2019-10-06 22:15:06,2019-10-06 22:15:06,0.004s,PASSED
,,,,,,,
Test Cases/List and create users/List users,,,,2019-10-06 22:15:06,2019-10-06 22:15:08,1.279s,PASSED
"listusers = sendRequest(findTestObject(""reqres/List all users""))",,,,2019-10-06 22:15:07,2019-10-06 22:15:08,0.892s,PASSED
"verifyResponseStatusCode(listusers, 200)",,,,2019-10-06 22:15:08,2019-10-06 22:15:08,0.004s,PASSED
