Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master suite 1,,Master suite 1,,2019-10-06 21:25:08,2019-10-06 21:25:26,17.901s,INCOMPLETE
,,,,,,,
Test Cases/List and create users/List users,,,,2019-10-06 21:25:10,2019-10-06 21:25:19,9.221s,FAILED
"listusers = sendRequest(findTestObject(""reqres/List all users""))",,,,2019-10-06 21:25:12,2019-10-06 21:25:19,6.735s,PASSED
"verifyResponseStatusCode(listusers, 400)",,,,2019-10-06 21:25:19,2019-10-06 21:25:19,0.210s,FAILED
,,,,,,,
Test Cases/List and create users/Create Users,,,,2019-10-06 21:25:19,2019-10-06 21:25:22,3.313s,PASSED
"createuser = sendRequest(findTestObject(""reqres/Create new User""))",,,,2019-10-06 21:25:20,2019-10-06 21:25:22,2.199s,PASSED
"verifyResponseStatusCode(createuser, 201)",,,,2019-10-06 21:25:22,2019-10-06 21:25:22,0.009s,PASSED
,,,,,,,
Test Cases/Imgur/Imgur with header,,,,2019-10-06 21:25:22,2019-10-06 21:25:26,4.112s,PASSED
"imgur = sendRequest(findTestObject(""reqres/Imgur with http header""))",,,,2019-10-06 21:25:24,2019-10-06 21:25:26,2.660s,PASSED
"verifyResponseStatusCode(imgur, 200)",,,,2019-10-06 21:25:26,2019-10-06 21:25:26,0.016s,PASSED
"println(""TEST PASSED"")",,,,2019-10-06 21:25:26,2019-10-06 21:25:26,0.017s,PASSED
